"distance","spectrumID","i"
0.503020056923183,"spec-3682-55244-0978.fits",55
0.524241589874624,"spec-3682-55244-0940.fits",55
0.535172346691265,"spec-3682-55244-0922.fits",55
0.542803371829046,"spec-3682-55244-0238.fits",1422
0.54719922708742,"spec-3682-55244-0452.fits",75
0.555665834578682,"spec-3682-55244-0668.fits",1366
0.563175515782195,"spec-3682-55244-0098.fits",1944
0.566472457249207,"spec-3682-55244-0598.fits",200
0.569492259195766,"spec-3682-55244-0506.fits",50
0.573074408694358,"spec-3682-55244-0132.fits",74
0.575791079429283,"spec-3682-55244-0328.fits",1561
0.578770107111673,"spec-3682-55244-0798.fits",53
0.581016333018043,"spec-3682-55244-0120.fits",75
0.584894621514259,"spec-3682-55244-0188.fits",76
0.589454227763359,"spec-3682-55244-0920.fits",52
0.5897727208232,"spec-3682-55244-0418.fits",73
0.590531292884241,"spec-3682-55244-0896.fits",53
0.592727454963155,"spec-3682-55244-0224.fits",74
0.603263039796718,"spec-3682-55244-0938.fits",2192
0.605488288278853,"spec-3682-55244-0527.fits",2058
0.605669353348233,"spec-3682-55244-0760.fits",52
0.610413381431963,"spec-3682-55244-0912.fits",51
0.611326318861548,"spec-3682-55244-0872.fits",50
0.614961509893767,"spec-3682-55244-0840.fits",51
0.61561841407461,"spec-3682-55244-0924.fits",1713
0.619653403554947,"spec-3682-55244-0192.fits",77
0.620354033974515,"spec-3682-55244-0074.fits",76
0.621733628538303,"spec-3682-55244-0937.fits",2228
0.62582007939145,"spec-3682-55244-0484.fits",75
0.626153750102566,"spec-3682-55244-0708.fits",200
0.62706302663794,"spec-3682-55244-0292.fits",2110
0.632154604001321,"spec-3682-55244-0870.fits",55
0.632909772898916,"spec-3682-55244-0336.fits",1410
0.633971343833234,"spec-3682-55244-0102.fits",1753
0.638664675721786,"spec-3682-55244-0994.fits",1860
0.641052765457309,"spec-3682-55244-0586.fits",56
0.64260002980323,"spec-3682-55244-0296.fits",586
0.642929425778436,"spec-3682-55244-0076.fits",1404
0.644627466595433,"spec-3682-55244-0194.fits",1160
0.645156830768759,"spec-3682-55244-0738.fits",2388
0.647550587128956,"spec-3682-55244-0614.fits",209
0.647608622208336,"spec-3682-55244-0492.fits",222
0.647970287916667,"spec-3682-55244-0266.fits",1098
0.649122780444502,"spec-3682-55244-0939.fits",2225
0.652272991142109,"spec-3682-55244-0196.fits",1943
0.652426643997811,"spec-3682-55244-0644.fits",199
0.652926233794135,"spec-3682-55244-0008.fits",77
0.65339644387063,"spec-3682-55244-0301.fits",2395
0.653830542003174,"spec-3682-55244-0562.fits",158
0.657722428265143,"spec-3682-55244-0518.fits",1939
0.658040973441802,"spec-3682-55244-0868.fits",55
0.659412802054147,"spec-3682-55244-0936.fits",2228
0.660579632178879,"spec-3682-55244-0932.fits",1007
0.663300571400964,"spec-3682-55244-0953.fits",2084
0.664787482300518,"spec-3682-55244-0902.fits",242
0.670209495233632,"spec-3682-55244-0127.fits",2219
0.671772467692598,"spec-3682-55244-0860.fits",53
0.673489580744299,"spec-3682-55244-0270.fits",76
0.67384120855015,"spec-3682-55244-0234.fits",1484
0.675233757500393,"spec-3682-55244-0047.fits",2332
0.675820440643615,"spec-3682-55244-0505.fits",1870
0.675975710030123,"spec-3682-55244-0172.fits",222
0.680130376640205,"spec-3682-55244-0078.fits",76
0.680570353899884,"spec-3682-55244-0232.fits",77
0.680661047232326,"spec-3682-55244-0160.fits",223
0.680894427035585,"spec-3682-55244-0251.fits",2364
0.682910926783946,"spec-3682-55244-0935.fits",2205
0.685460761429662,"spec-3682-55244-0042.fits",233
0.689319208357635,"spec-3682-55244-0604.fits",735
0.689819275917749,"spec-3682-55244-0084.fits",254
0.690620946803779,"spec-3682-55244-0016.fits",2024
0.690899761102481,"spec-3682-55244-0312.fits",2402
0.691597496693053,"spec-3682-55244-0592.fits",1925
0.691836348970829,"spec-3682-55244-0544.fits",197
0.693611581941413,"spec-3682-55244-0208.fits",72
0.693822843273663,"spec-3682-55244-0746.fits",1389
0.69407826004845,"spec-3682-55244-0088.fits",222
0.694339834339677,"spec-3682-55244-0263.fits",2312
0.69438246785093,"spec-3682-55244-0931.fits",2188
0.697603511576146,"spec-3682-55244-0648.fits",52
0.699401098520293,"spec-3682-55244-0408.fits",77
0.699534022271106,"spec-3682-55244-0002.fits",2427
0.700300923475302,"spec-3682-55244-0884.fits",794
0.701912997728257,"spec-3682-55244-0422.fits",398
0.704222293449202,"spec-3682-55244-0299.fits",2072
0.70651269489131,"spec-3682-55244-0942.fits",1629
