"distance","spectrumID","i"
0.760223299005471,"spec-3760-55268-0024.fits",1599
0.760944370006206,"spec-3760-55268-0186.fits",152
0.760965001508097,"spec-3760-55268-0323.fits",1864
0.761845592211223,"spec-3760-55268-0254.fits",69
0.76207194389434,"spec-3760-55268-0454.fits",72
0.763526251600592,"spec-3760-55268-0541.fits",2209
0.763620602060932,"spec-3760-55268-0484.fits",618
0.764441232856343,"spec-3760-55268-0257.fits",2069
0.766366661454165,"spec-3760-55268-0086.fits",821
0.767038307706094,"spec-3760-55268-0800.fits",106
0.767753426002869,"spec-3760-55268-0921.fits",1973
0.767837606613372,"spec-3760-55268-0132.fits",74
0.767981561091178,"spec-3760-55268-0250.fits",593
0.768250147033331,"spec-3760-55268-0434.fits",1960
0.768495870235145,"spec-3760-55268-0283.fits",1811
0.769397091147467,"spec-3760-55268-0091.fits",2002
0.770155029332992,"spec-3760-55268-0578.fits",379
0.771215095586761,"spec-3760-55268-0688.fits",1455
0.771796357246873,"spec-3760-55268-0650.fits",388
0.77242892409964,"spec-3760-55268-0336.fits",192
0.773711436765256,"spec-3760-55268-0989.fits",1951
0.774213273975198,"spec-3760-55268-0446.fits",71
0.774302772055078,"spec-3760-55268-0717.fits",1936
0.774750892795855,"spec-3760-55268-0625.fits",1937
0.775051819331817,"spec-3760-55268-0016.fits",1295
0.775122224974257,"spec-3760-55268-0095.fits",2381
0.775252393621252,"spec-3760-55268-0514.fits",1367
0.775891362363477,"spec-3760-55268-0452.fits",2066
0.776460759772278,"spec-3760-55268-0733.fits",2084
0.776741530512152,"spec-3760-55268-0262.fits",2438
0.776797950409708,"spec-3760-55268-0004.fits",72
0.776914965439833,"spec-3760-55268-0523.fits",1809
0.777225314768735,"spec-3760-55268-0692.fits",201
0.777454397086714,"spec-3760-55268-0571.fits",2083
0.778020553246062,"spec-3760-55268-0754.fits",1424
0.778812106246358,"spec-3760-55268-0757.fits",1769
0.77979315280186,"spec-3760-55268-0409.fits",2399
0.779918284872823,"spec-3760-55268-0926.fits",2071
0.780037218255891,"spec-3760-55268-0335.fits",1915
0.780099937380108,"spec-3760-55268-0344.fits",1931
0.781246704040874,"spec-3760-55268-0291.fits",2080
0.782024208911731,"spec-3760-55268-0997.fits",1954
0.782718405301109,"spec-3760-55268-0544.fits",1931
0.783108527842009,"spec-3760-55268-0211.fits",1063
0.78312119396167,"spec-3760-55268-0834.fits",2078
0.783301968352334,"spec-3760-55268-0831.fits",1887
0.784333134296815,"spec-3760-55268-0738.fits",196
0.785408955600161,"spec-3760-55268-0268.fits",2076
0.78543286565489,"spec-3760-55268-0218.fits",579
0.786148511747252,"spec-3760-55268-0345.fits",1995
0.786258504568699,"spec-3760-55268-0416.fits",774
0.786826950272162,"spec-3760-55268-0134.fits",1981
0.786950166917867,"spec-3760-55268-0098.fits",1935
0.788128238541186,"spec-3760-55268-0826.fits",1856
0.788369599381505,"spec-3760-55268-0560.fits",2033
0.788456036239702,"spec-3760-55268-0742.fits",136
0.788466362631684,"spec-3760-55268-0106.fits",835
0.788712237805232,"spec-3760-55268-0763.fits",613
0.788775909205883,"spec-3760-55268-0390.fits",2122
0.788949156686803,"spec-3760-55268-0695.fits",33
0.789436331194555,"spec-3760-55268-0652.fits",1384
0.789855350623377,"spec-3760-55268-0680.fits",1043
0.78985592900255,"spec-3760-55268-0325.fits",1949
0.790009746567106,"spec-3760-55268-0462.fits",1849
0.790031070686006,"spec-3760-55268-0326.fits",73
0.790619681075307,"spec-3760-55268-0403.fits",1784
0.790856065327149,"spec-3760-55268-0743.fits",1942
0.790861620615626,"spec-3760-55268-0392.fits",2294
0.790917769368642,"spec-3760-55268-0333.fits",1831
0.791174343798071,"spec-3760-55268-0686.fits",2026
0.791214986660539,"spec-3760-55268-0654.fits",298
0.79134295081301,"spec-3760-55268-0752.fits",266
0.791486602086034,"spec-3760-55268-0047.fits",2207
0.791681722237017,"spec-3760-55268-0041.fits",2000
0.791818526278537,"spec-3760-55268-0978.fits",1953
0.792118361804026,"spec-3760-55268-0762.fits",2380
0.792213827690569,"spec-3760-55268-0527.fits",1842
0.792416142089827,"spec-3760-55268-0573.fits",2246
0.792668724279532,"spec-3760-55268-0126.fits",1973
0.792977453889527,"spec-3760-55268-0937.fits",2263
0.793097636885503,"spec-3760-55268-0887.fits",2152
0.795017753398125,"spec-3760-55268-0936.fits",2270
0.795486434293054,"spec-3760-55268-0328.fits",1863
0.79563999298971,"spec-3760-55268-0911.fits",1946
0.795804592707275,"spec-3760-55268-0242.fits",1864
0.795900906802371,"spec-3760-55268-0744.fits",1436
0.79597646994504,"spec-3760-55268-0362.fits",2277
0.796013891398135,"spec-3760-55268-0389.fits",2019
0.79634130653268,"spec-3760-55268-0466.fits",16
0.796353397981864,"spec-3760-55268-0946.fits",1582
0.796449887500919,"spec-3760-55268-0907.fits",1967
0.796619614792389,"spec-3760-55268-0904.fits",1844
0.796650108465927,"spec-3760-55268-0309.fits",1882
0.796944725559762,"spec-3760-55268-0384.fits",2006
