distance,spectrumID,i
0.0681226184838329,"spec-5315-55978-0779.fits",0
0.0908085633170762,"spec-6813-56419-0172.fits",0
0.143563227289168,"spec-4240-55455-0517.fits",0
0.223305371877193,"spec-6699-56411-0980.fits",0
0.256007899517979,"spec-7431-57162-0517.fits",0
0.286468996936814,"spec-5209-56002-0734.fits",0
0.29469959475355,"spec-6713-56402-0294.fits",447
0.322006650979327,"spec-4498-55615-0808.fits",0
0.335094057136918,"spec-5713-56686-0001.fits",0
0.357747886751483,"spec-6489-56329-0866.fits",1767
0.362441702720559,"spec-5981-56340-0734.fits",0
0.36260039241919,"spec-4839-55703-0517.fits",0
0.362918010259459,"spec-6052-56092-0294.fits",1256
0.366043808303302,"spec-5436-56015-0440.fits",588
0.36664861599624,"spec-6303-56539-0090.fits",990
0.366902055423263,"spec-6408-56329-0764.fits",0
0.369477806691039,"spec-6452-56366-0270.fits",184
0.369823627168725,"spec-5302-55896-0513.fits",365
0.373802553791592,"spec-3678-55208-0850.fits",0
0.379043883515951,"spec-4690-55653-0140.fits",2352
0.379529486280444,"spec-4058-55358-0100.fits",1125
0.380343693171997,"spec-5783-56017-0903.fits",1525
0.385311592828354,"spec-6295-56536-0221.fits",0
0.3891138288052,"spec-3804-55267-0936.fits",28
0.395222638331168,"spec-5172-56071-0705.fits",1079
0.395515540695201,"spec-6184-56267-0854.fits",753
0.396015949142066,"spec-3665-55247-0718.fits",1155
0.397493695770183,"spec-3679-55209-0232.fits",71
0.399097424818868,"spec-4221-55443-0556.fits",1163
0.404021736582593,"spec-4783-55652-0180.fits",175
0.404971268734307,"spec-3866-55623-0134.fits",355
0.406124990528885,"spec-5461-56018-0838.fits",534
0.406896776427558,"spec-7099-56666-0015.fits",0
0.40770220244139,"spec-5320-55999-0680.fits",855
0.408300568227242,"spec-4837-55707-0560.fits",877
0.414376943921355,"spec-6673-56419-0318.fits",358
0.416927673896079,"spec-5768-56017-0792.fits",1144
0.418196321291686,"spec-4452-55536-0019.fits",404
0.419020353042305,"spec-5771-56011-0362.fits",1192
0.419138944936343,"spec-4211-55446-0538.fits",1439
0.421611083459675,"spec-4227-55481-0937.fits",219
0.42181615368078,"spec-4766-55677-0472.fits",756
0.422611726161604,"spec-3586-55181-0634.fits",1185
0.422819805217556,"spec-6375-56323-0517.fits",0
0.423361881483069,"spec-4375-55889-0334.fits",979
0.423522211325706,"spec-3757-55508-0408.fits",398
0.423696507009743,"spec-5361-55973-0680.fits",174
0.423871816024713,"spec-6055-56102-0884.fits",1165
0.42417424672827,"spec-4860-55691-0180.fits",2070
0.424233724959201,"spec-6164-56181-0678.fits",148
0.425346668492265,"spec-6411-56331-0302.fits",681
0.426359419631349,"spec-6873-56541-0624.fits",353
0.426852978572075,"spec-6838-56429-0064.fits",461
0.427262203312581,"spec-4979-56045-0796.fits",237
0.427586167393379,"spec-4242-55476-0852.fits",1806
0.427601174486044,"spec-4834-55685-0798.fits",728
0.4279799974867,"spec-4227-55481-0027.fits",689
0.429079082441016,"spec-4538-55860-0742.fits",1138
0.429226150414373,"spec-7081-56684-0350.fits",979
0.430075217695908,"spec-6663-56338-0946.fits",895
0.431493768590024,"spec-6664-56383-0936.fits",385
0.432346523596447,"spec-5164-56067-0894.fits",1898
0.432831271769769,"spec-4889-55709-0922.fits",857
0.432953150696938,"spec-5165-56063-0877.fits",1085
0.433637425369977,"spec-3769-55240-0558.fits",1102
0.434821605277059,"spec-7400-57134-0696.fits",665
0.435265672675263,"spec-7257-56658-0345.fits",63
0.435468074671919,"spec-5368-56001-0828.fits",295
0.435844240198407,"spec-5772-56003-0842.fits",1322
0.436195633093627,"spec-3793-55214-0542.fits",103
0.43815881207915,"spec-7155-56629-0104.fits",1562
0.438536237368802,"spec-5418-56037-0940.fits",1069
0.438662350597471,"spec-6023-56069-0112.fits",2248
0.440509451436495,"spec-6720-56390-0594.fits",276
0.441964612487831,"spec-5442-55978-0734.fits",0
0.442150700029569,"spec-4444-55538-0900.fits",255
0.442272361123204,"spec-6836-56443-0752.fits",336
0.442562041827832,"spec-5306-55926-0962.fits",540
0.442886213956241,"spec-5475-56011-0394.fits",251
0.443815081446074,"spec-4839-55703-0086.fits",1110
0.444720808945001,"spec-5477-56030-0974.fits",1430
0.445870970825215,"spec-5420-56009-0709.fits",1037
0.445969049629654,"spec-3825-55533-0358.fits",171
0.446668839496545,"spec-3829-55300-0038.fits",0
0.447244683769658,"spec-4192-55469-0350.fits",749
0.447437994959463,"spec-3852-55243-0748.fits",1597
0.447481169349696,"spec-7325-56717-0292.fits",343
0.448247206930437,"spec-4006-55328-0784.fits",1135
0.448473145715008,"spec-4864-55680-0360.fits",453
0.448680901862531,"spec-6409-56306-0204.fits",442
0.448917333427041,"spec-7256-56658-0397.fits",665
0.449302235833112,"spec-7421-57159-0614.fits",1043
0.4494943107862,"spec-5407-55926-0447.fits",765
0.449512882164587,"spec-5985-56089-0260.fits",1036
0.449992147475669,"spec-6049-56091-0184.fits",205
0.449994516878074,"spec-5481-55983-0452.fits",893
0.450102468936893,"spec-6665-56390-0442.fits",870
0.450290808602384,"spec-7449-56740-0158.fits",925
0.450463725500278,"spec-7254-56625-0443.fits",68
0.451630149598957,"spec-5957-56210-0880.fits",512
